idFactura,fechaEmision,subtotal,iva,total,metodoPago
bb0e8400-e29b-41d4-a716-446655440001,2026-05-22T10:15:00,20000,3800,23800,Tarjeta
bb0e8400-e29b-41d4-a716-446655440002,2026-05-22T10:20:00,15000,2850,17850,Efectivo
bb0e8400-e29b-41d4-a716-446655440003,2026-05-22T10:25:00,30000,5700,35700,Nequi
bb0e8400-e29b-41d4-a716-446655440004,2026-05-22T10:30:00,12000,2280,14280,Tarjeta
bb0e8400-e29b-41d4-a716-446655440005,2026-05-22T10:35:00,18000,3420,21420,Efectivo
bb0e8400-e29b-41d4-a716-446655440006,2026-05-22T10:40:00,45000,8550,53550,Tarjeta
bb0e8400-e29b-41d4-a716-446655440007,2026-05-22T10:45:00,10000,1900,11900,Nequi
bb0e8400-e29b-41d4-a716-446655440008,2026-05-22T10:50:00,25000,4750,29750,Efectivo
bb0e8400-e29b-41d4-a716-446655440009,2026-05-22T10:55:00,50000,9500,59500,Tarjeta
bb0e8400-e29b-41d4-a716-446655440010,2026-05-22T11:00:00,14000,2660,16660,Nequi
