iidPedido,fechaHora,estado,subtotal,iva,total,idCliente,idFactura
 cc0e8400-e29b-41d4-a716-446655440001,2026-05-22T10:15:00,PENDIENTE,20000,3800,23800,990e8400-e29b-41d4-a716-446655440001,bb0e8400-e29b-41d4-a716-446655440001
 cc0e8400-e29b-41d4-a716-446655440002,2026-05-22T10:20:00,LISTO,15000,2850,17850,990e8400-e29b-41d4-a716-446655440002,bb0e8400-e29b-41d4-a716-446655440002
 cc0e8400-e29b-41d4-a716-446655440003,2026-05-22T10:25:00,EN_PREPARACION,30000,5700,35700,990e8400-e29b-41d4-a716-446655440003,bb0e8400-e29b-41d4-a716-446655440003
 cc0e8400-e29b-41d4-a716-446655440004,2026-05-22T10:30:00,LISTO,12000,2280,14280,990e8400-e29b-41d4-a716-446655440004,bb0e8400-e29b-41d4-a716-446655440004
 cc0e8400-e29b-41d4-a716-446655440005,2026-05-22T10:35:00,PENDIENTE,18000,3420,21420,990e8400-e29b-41d4-a716-446655440005,bb0e8400-e29b-41d4-a716-446655440005
 cc0e8400-e29b-41d4-a716-446655440006,2026-05-22T10:40:00,LISTO,45000,8550,53550,990e8400-e29b-41d4-a716-446655440006,bb0e8400-e29b-41d4-a716-446655440006
 cc0e8400-e29b-41d4-a716-446655440007,2026-05-22T10:45:00,EN_PREPARACION,10000,1900,11900,990e8400-e29b-41d4-a716-446655440007,bb0e8400-e29b-41d4-a716-446655440007
 cc0e8400-e29b-41d4-a716-446655440008,2026-05-22T10:50:00,PENDIENTE,25000,4750,29750,990e8400-e29b-41d4-a716-446655440008,bb0e8400-e29b-41d4-a716-446655440008
 cc0e8400-e29b-41d4-a716-446655440009,2026-05-22T10:55:00,LISTO,50000,9500,59500,990e8400-e29b-41d4-a716-446655440009,bb0e8400-e29b-41d4-a716-446655440009
 cc0e8400-e29b-41d4-a716-446655440010,2026-05-22T11:00:00,PENDIENTE,14000,2660,16660,990e8400-e29b-41d4-a716-446655440010,bb0e8400-e29b-41d4-a716-446655440010
